48100	6955533
47900	6955633
47700	6955733
47500	6955833
47300	6955933
47100	6955933
46900	6956033
46700	6956133
46500	6956133
46300	6956133
46100	6956133
45900	6956133
45700	6956133
45500	6956133
45300	6956133
45100	6956133
44900	6956133
44700	6956133
44500	6956133
44300	6956133
44100	6956133
43900	6956233
43700	6956233
43500	6956233
43300	6956233
43100	6956233
42900	6956233
42700	6956233
42500	6956233
42300	6956233
42100	6956233
41900	6956233
41700	6956333
41500	6956433
41300	6956533
41100	6956733
41100	6956933
41100	6957133
41100	6957333
41100	6957533
41300	6957733
41400	6957933
41400	6958133
41500	6958333
41700	6958433
41900	6958433
42100	6958433
42300	6958433
42500	6958433
42700	6958533
